event_id,timestamp,order_id,trader_id,instrument,event_type,side,price,quantity,remaining_qty,best_bid,best_ask,mid_price,is_spoof,spoof_episode_id
1,2025-12-15 09:30:00.271,ORD-8E89442E59,T018,ESZ25,NEW_ORDER,BUY,5800.0,1,1,5800.0,5800.0,5800.0,False,
2,2025-12-15 09:30:00.616,ORD-8A2763E135,T042,ESZ25,NEW_ORDER,BUY,5799.25,12,12,5800.0,5800.0,5800.0,False,
3,2025-12-15 09:30:00.714,ORD-31D8B4E81E,T006,ESZ25,NEW_ORDER,BUY,5800.0,1,1,5800.0,5800.0,5800.0,False,
4,2025-12-15 09:30:00.970,ORD-DF5BA43E20,T011,ESZ25,NEW_ORDER,BUY,5799.5,13,13,5800.0,5800.0,5800.0,False,
5,2025-12-15 09:30:01.338,ORD-31D8B4E81E,T006,ESZ25,FILL,BUY,5800.0,1,0,5800.0,5800.0,5800.0,False,
6,2025-12-15 09:30:01.659,ORD-683E722146,T030,ESZ25,NEW_ORDER,BUY,5799.25,12,12,5800.0,5800.0,5800.0,False,
7,2025-12-15 09:30:01.963,ORD-B470D94CB6,T025,ESZ25,NEW_ORDER,BUY,5800.0,2,2,5800.0,5800.0,5800.0,False,
8,2025-12-15 09:30:02.283,ORD-B470D94CB6,T025,ESZ25,FILL,BUY,5800.0,2,0,5800.0,5800.0,5800.0,False,
9,2025-12-15 09:30:02.556,ORD-8DA8E10AA6,T023,ESZ25,NEW_ORDER,BUY,5800.0,6,6,5800.0,5800.0,5800.0,False,
10,2025-12-15 09:30:02.684,ORD-6E233EB8BB,T021,ESZ25,NEW_ORDER,BUY,5800.0,11,11,5800.0,5800.0,5800.0,False,
11,2025-12-15 09:30:02.719,ORD-8494B52058,T007,ESZ25,NEW_ORDER,BUY,5800.0,14,14,5800.0,5800.0,5800.0,False,
12,2025-12-15 09:30:02.749,ORD-512AD30B48,T016,ESZ25,NEW_ORDER,BUY,5800.0,9,9,5800.0,5800.0,5800.0,False,
13,2025-12-15 09:30:02.867,ORD-142AA46802,T013,ESZ25,NEW_ORDER,SELL,5800.0,10,10,5800.0,5800.0,5800.0,False,
14,2025-12-15 09:30:02.889,ORD-8E89442E59,T018,ESZ25,PARTIAL_FILL,BUY,5800.0,1,0,5800.0,5800.0,5800.0,False,
15,2025-12-15 09:30:03.142,ORD-8494B52058,T007,ESZ25,FILL,BUY,5800.0,14,0,5800.0,5800.0,5800.0,False,
16,2025-12-15 09:30:03.231,ORD-1CFF6D8874,T037,ESZ25,NEW_ORDER,BUY,5799.5,4,4,5800.0,5800.0,5800.0,False,
17,2025-12-15 09:30:03.454,ORD-512AD30B48,T016,ESZ25,FILL,BUY,5800.0,9,0,5800.0,5800.0,5800.0,False,
18,2025-12-15 09:30:03.512,ORD-F8A5CEFD26,T038,ESZ25,NEW_ORDER,SELL,5800.0,15,15,5800.0,5800.0,5800.0,False,
19,2025-12-15 09:30:03.616,ORD-3DA0E50D09,T009,ESZ25,NEW_ORDER,BUY,5800.0,5,5,5800.0,5800.0,5800.0,False,
20,2025-12-15 09:30:04.179,ORD-215D84ED22,T004,ESZ25,NEW_ORDER,BUY,5799.75,13,13,5800.0,5800.0,5800.0,False,
21,2025-12-15 09:30:04.264,ORD-3DA0E50D09,T009,ESZ25,FILL,BUY,5800.0,5,0,5800.0,5800.0,5800.0,False,
22,2025-12-15 09:30:04.353,ORD-9479E4AC35,T025,ESZ25,NEW_ORDER,BUY,5799.25,7,7,5800.0,5800.0,5800.0,False,
23,2025-12-15 09:30:04.375,ORD-B676280BEF,T041,ESZ25,NEW_ORDER,SELL,5800.25,14,14,5800.0,5800.0,5800.0,False,
24,2025-12-15 09:30:04.392,ORD-683E722146,T030,ESZ25,PARTIAL_FILL,BUY,5799.25,12,1,5800.0,5800.0,5800.0,False,
25,2025-12-15 09:30:04.527,ORD-6E233EB8BB,T021,ESZ25,PARTIAL_FILL,BUY,5800.0,11,5,5800.0,5800.0,5800.0,False,
26,2025-12-15 09:30:04.794,ORD-3C4C6F3C99,T008,ESZ25,NEW_ORDER,BUY,5799.5,11,11,5800.0,5800.0,5800.0,False,
27,2025-12-15 09:30:05.207,ORD-EC8B862432,T001,ESZ25,NEW_ORDER,BUY,5799.5,8,8,5800.0,5800.0,5800.0,False,
28,2025-12-15 09:30:05.251,ORD-8DA8E10AA6,T023,ESZ25,PARTIAL_FILL,BUY,5800.0,6,5,5800.0,5800.0,5800.0,False,
29,2025-12-15 09:30:05.799,ORD-F8A5CEFD26,T038,ESZ25,PARTIAL_FILL,SELL,5800.0,15,12,5800.0,5800.0,5800.0,False,
30,2025-12-15 09:30:06.064,ORD-1CFF6D8874,T037,ESZ25,PARTIAL_FILL,BUY,5799.5,4,2,5800.0,5800.0,5800.0,False,
31,2025-12-15 09:30:06.196,ORD-3C4C6F3C99,T008,ESZ25,PARTIAL_FILL,BUY,5799.5,11,9,5800.0,5800.0,5800.0,False,
32,2025-12-15 09:30:06.900,ORD-4D9B9DBC3D,T004,ESZ25,NEW_ORDER,SELL,5800.0,4,4,5800.0,5800.0,5800.0,False,
33,2025-12-15 09:30:07.006,ORD-D37A75ACB5,T035,ESZ25,NEW_ORDER,BUY,5799.75,13,13,5800.0,5800.0,5800.0,False,
34,2025-12-15 09:30:07.064,ORD-7A4F274F1E,T021,ESZ25,NEW_ORDER,BUY,5800.0,10,10,5800.0,5800.0,5800.0,False,
35,2025-12-15 09:30:07.456,ORD-05DB05A081,T039,ESZ25,NEW_ORDER,SELL,5800.25,9,9,5800.0,5800.0,5800.0,False,
36,2025-12-15 09:30:07.486,ORD-EC8B862432,T001,ESZ25,PARTIAL_FILL,BUY,5799.5,8,6,5800.0,5800.0,5800.0,False,
37,2025-12-15 09:30:07.507,ORD-A6A8BB8DD5,T034,ESZ25,NEW_ORDER,SELL,5800.25,8,8,5800.0,5800.0,5800.0,False,
38,2025-12-15 09:30:08.287,ORD-61846CA131,T015,ESZ25,NEW_ORDER,BUY,5800.0,10,10,5800.0,5800.0,5800.0,False,
39,2025-12-15 09:30:08.571,ORD-61846CA131,T015,ESZ25,FILL,BUY,5800.0,10,0,5800.0,5800.0,5800.0,False,
40,2025-12-15 09:30:08.757,ORD-ABEADBBCD2,T003,ESZ25,NEW_ORDER,BUY,5800.0,15,15,5800.0,5800.0,5800.0,False,
41,2025-12-15 09:30:08.932,ORD-05DB05A081,T039,ESZ25,PARTIAL_FILL,SELL,5800.25,9,5,5800.0,5800.0,5800.0,False,
42,2025-12-15 09:30:09.090,ORD-4D9B9DBC3D,T004,ESZ25,PARTIAL_FILL,SELL,5800.0,4,3,5800.0,5800.0,5800.0,False,
43,2025-12-15 09:30:09.260,ORD-F2E74FB062,T009,ESZ25,NEW_ORDER,BUY,5799.25,9,9,5800.0,5800.0,5800.0,False,
44,2025-12-15 09:30:09.414,ORD-5B3B173EFB,T042,ESZ25,NEW_ORDER,BUY,5800.0,11,11,5800.0,5800.0,5800.0,False,
45,2025-12-15 09:30:09.485,ORD-2B3FBAAE58,T028,ESZ25,NEW_ORDER,BUY,5800.0,11,11,5800.0,5800.0,5800.0,False,
46,2025-12-15 09:30:10.239,ORD-F2E74FB062,T009,ESZ25,PARTIAL_FILL,BUY,5799.25,9,2,5800.0,5800.0,5800.0,False,
47,2025-12-15 09:30:10.281,ORD-2B3FBAAE58,T028,ESZ25,FILL,BUY,5800.0,11,0,5800.0,5800.0,5800.0,False,
48,2025-12-15 09:30:10.693,ORD-896D52611B,T013,ESZ25,NEW_ORDER,BUY,5800.0,4,4,5800.0,5800.0,5800.0,False,
49,2025-12-15 09:30:10.833,ORD-4C8B6CD28B,T016,ESZ25,NEW_ORDER,SELL,5800.0,8,8,5800.0,5800.0,5800.0,False,
50,2025-12-15 09:30:10.930,ORD-896D52611B,T013,ESZ25,FILL,BUY,5800.0,4,0,5800.0,5800.0,5800.0,False,
51,2025-12-15 09:30:11.460,ORD-70FB81D583,T014,ESZ25,NEW_ORDER,SELL,5800.0,8,8,5800.0,5800.0,5800.0,False,
52,2025-12-15 09:30:11.795,ORD-A9E75B21F3,T028,ESZ25,NEW_ORDER,SELL,5800.75,5,5,5800.0,5800.0,5800.0,False,
53,2025-12-15 09:30:12.168,ORD-6B952BE05E,T035,ESZ25,NEW_ORDER,BUY,5800.0,11,11,5800.0,5800.0,5800.0,False,
54,2025-12-15 09:30:12.654,ORD-E9924AED1F,T035,ESZ25,NEW_ORDER,BUY,5800.0,10,10,5800.0,5800.0,5800.0,False,
55,2025-12-15 09:30:13.030,ORD-F358AE6A4E,T005,ESZ25,NEW_ORDER,BUY,5799.75,10,10,5800.0,5800.0,5800.0,False,
56,2025-12-15 09:30:13.049,ORD-6B952BE05E,T035,ESZ25,PARTIAL_FILL,BUY,5800.0,11,7,5800.0,5800.0,5800.0,False,
57,2025-12-15 09:30:13.287,ORD-4C8B6CD28B,T016,ESZ25,PARTIAL_FILL,SELL,5800.0,8,1,5800.0,5800.0,5800.0,False,
58,2025-12-15 09:30:13.302,ORD-E9924AED1F,T035,ESZ25,FILL,BUY,5800.0,10,0,5800.0,5800.0,5800.0,False,
59,2025-12-15 09:30:13.334,ORD-A9564D8B73,T034,ESZ25,NEW_ORDER,SELL,5800.0,9,9,5800.0,5800.0,5800.0,False,
60,2025-12-15 09:30:13.574,ORD-A9564D8B73,T034,ESZ25,FILL,SELL,5800.0,9,0,5800.0,5800.0,5800.0,False,
61,2025-12-15 09:30:13.656,ORD-C4ACEE024E,T006,ESZ25,NEW_ORDER,BUY,5799.5,10,10,5800.0,5800.0,5800.0,False,
62,2025-12-15 09:30:13.769,ORD-80D8F07702,T017,ESZ25,NEW_ORDER,SELL,5800.0,4,4,5800.0,5800.0,5800.0,False,
63,2025-12-15 09:30:14.067,ORD-7609AADA32,T005,ESZ25,NEW_ORDER,SELL,5800.0,15,15,5800.0,5800.0,5800.0,False,
64,2025-12-15 09:30:14.274,ORD-11746269CC,T017,ESZ25,NEW_ORDER,BUY,5800.0,9,9,5800.0,5800.0,5800.0,False,
